Name,State,City,Zip,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Loyola University Chicago,IL,CHICAGO,60660,Yes,3579,2959,868,25,55,5244,3417,11500,5330,700,2000,94,95,6.2,15,13009,65
Luther College,IA,DECORAH,52101,Yes,1549,1392,587,38,72,2269,85,13240,3560,600,400,73,85,13.8,38,8949,77
Macalester College,MN,SAINT PAUL,55105,Yes,2939,1496,452,56,86,1723,113,15909,4772,500,700,85,91,11.9,37,14213,77
MacMurray College,IL,JACKSONVILLE,62650,Yes,740,558,177,12,29,628,63,9620,3750,550,950,49,55,10.8,33,10642,59
Manhattan College,NY,RIVERDALE,10471,Yes,2432,1730,563,20,63,2578,254,12370,6800,500,1800,92,92,13.6,25,10062,79
Manhattanville College,NY,PURCHASE,10577,Yes,962,750,212,21,54,830,150,14700,6550,450,400,97,97,11.3,24,11291,70
Marietta College,OH,MARIETTA,45750,Yes,1611,960,342,27,60,1089,210,13850,3920,470,810,80,97,13.2,30,10223,96
Marist College,NY,POUGHKEEPSIE,12601,Yes,4731,3171,830,12,31,3557,658,10700,5925,550,1200,74,81,17.6,34,8408,69
Marquette University,WI,MILWAUKEE,53233,Yes,5152,4600,1685,36,71,7016,804,11610,4760,600,1950,86,94,13.5,25,9982,77
Marshall University,WV,HUNTINGTON,25755,Yes,4226,3666,2007,14,60,7703,2339,5094,4010,700,1560,77,86,16.6,10,6203,50
Marymount University,VA,ARLINGTON,22207,Yes,941,772,214,10,30,1247,776,11390,5280,500,750,77,82,10.6,17,8575,55
Maryville College,TN,MARYVILLE,37804,Yes,1464,888,176,26,52,624,128,11200,4208,500,1642,80,90,11.1,43,8317,51
Massachusetts Institute of Technology,MA,CAMBRIDGE,02139,Yes,6411,2140,1078,96,99,4481,28,20100,5975,725,1600,99,99,10.1,35,33541,94
Mayville State University,ND,MAYVILLE,58257,No,233,233,153,5,12,658,58,4486,2516,600,1900,68,68,15.7,11,6971,51
McMurry University,TX,ABILENE,79697,Yes,578,411,187,25,50,880,477,6930,3452,400,1525,57,64,11,11,6383,32
McPherson College,KS,MCPHERSON,67460,Yes,420,293,93,11,32,336,80,7950,3750,600,2740,54,54,9.8,45,9754,48
Mercer University,GA,MACON,31207,Yes,2286,1668,564,37,70,2943,1260,11985,4081,400,1500,93,95,9.2,15,8995,91
Meredith College,NC,RALEIGH,27607,Yes,857,772,376,25,58,1721,470,6720,3250,450,1520,77,82,13.9,33,6881,82
Merrimack College,MA,NORTH ANDOVER,01845,Yes,1981,1541,514,18,36,1927,1084,12500,6200,375,1000,73,75,16.8,22,8707,80
Michigan Technological University,MI,HOUGHTON,49931,No,2618,2288,1032,42,77,5524,414,8127,3978,900,1200,82,82,17,25,7473,65
Millikin University,IL,DECATUR,62522,Yes,1444,1261,456,29,62,1788,95,11910,4378,450,965,60,77,11.4,25,8149,75
Millsaps College,MS,JACKSON,39210,Yes,905,834,319,32,61,1073,179,11320,4402,550,1350,82,89,12.7,38,11218,58
Milwaukee School of Engineering,WI,MILWAUKEE,53202,Yes,1217,1088,496,36,69,1773,884,11505,3255,1000,2075,35,46,16.7,23,7140,67
Mississippi College,MS,CLINTON,39058,Yes,594,385,307,36,57,1695,721,5580,2830,600,700,77,79,16.5,18,6170,61
Mississippi State University,MS,MISSISSIPPI STATE,39762,No,4255,3277,1609,18,57,10094,1621,9866,3084,480,1479,77,77,15.9,20,6223,53
Mississippi University for Women,MS,COLUMBUS,39701,No,480,405,380,19,46,1673,1014,4386,2217,600,1500,49,54,15.8,8,5704,63
Missouri Valley College,MO,MARSHALL,65340,Yes,1310,983,316,5,35,1057,175,8550,5050,400,900,35,67,17.4,16,4333,27
Monmouth College,IL,MONMOUTH,61462,Yes,2707,1881,478,14,34,1893,847,12480,5290,530,1740,70,85,14.2,15,9492,54
Montana State University,MT,BOZEMAN,59717,No,3500,2836,1779,15,42,8730,993,5552,3710,550,2300,75,83,17.6,8,6324,37
Montclair State University,NJ,MONTCLAIR,07043,No,5220,2128,865,19,53,6411,3186,3648,4834,700,950,82,87,21.5,9,6717,58
Moravian College,PA,BETHLEHEM,18018,Yes,1232,955,303,23,58,1241,485,14990,4730,550,1250,86,92,15.2,28,9566,74
Morehouse College,GA,ATLANTA,30314,Yes,3708,1678,722,41,66,2852,153,7050,5490,250,600,71,74,17.8,10,8122,83
Morningside College,IA,SIOUX CITY,51106,Yes,586,533,239,16,36,950,228,10520,3678,500,1000,48,68,13,32,8111,56
Morris College,SC,SUMTER,29150,Yes,882,730,330,2,13,926,12,4515,2550,850,2100,53,60,18.6,34,6990,60
Mount Holyoke College,MA,SOUTH HADLEY,01075,Yes,1800,1314,526,47,79,1891,40,19300,5700,750,750,79,91,9,51,18359,84
Mount Saint Mary College,NY,NEWBURGH,12550,Yes,1170,695,238,14,48,1170,429,7470,4600,250,1400,74,75,15.3,23,6898,88
Muhlenberg College,PA,ALLENTOWN,18104,Yes,2519,1836,462,30,61,1656,352,16975,4565,600,850,76,86,12.8,39,10888,83
Murray State University,KY,MURRAY,42071,No,2225,1910,1190,29,55,5968,955,4738,3110,700,940,72,76,20.2,27,5972,52
New Jersey Institute of Technology,NJ,NEWARK,07102,No,1879,1216,483,27,62,3311,1646,8832,5376,700,1850,92,98,13.5,19,12529,72
New York University,NY,NEW YORK,10012,Yes,13594,7244,2505,70,86,12408,2814,17748,7262,450,1000,87,98,7.8,16,21227,71
Newberry College,SC,NEWBERRY,29108,Yes,872,722,154,14,36,601,36,10194,2600,500,1500,57,63,11.4,32,5788,83
Niagara University,NY,NIAGARA UNIVERSITY,14109,Yes,2220,1796,467,65,99,1919,334,10320,4762,450,650,68,100,14.2,20,7788,65
North Carolina State University at Raleigh,NC,RALEIGH,27695,No,10634,7064,3176,39,78,16505,5481,8400,6540,600,1300,92,98,17.5,21,9670,62
North Carolina Wesleyan College,NC,ROCKY MOUNT,27804,Yes,812,689,195,7,24,646,84,8242,4230,600,1295,77,77,12.7,11,10090,52
North Central College,IL,NAPERVILLE,60540,Yes,1127,884,308,30,64,1310,766,11718,7398,450,1800,73,87,16.4,33,8871,76
Northeastern University,MA,BOSTON,02115,Yes,11901,8492,2517,16,42,11160,10221,13380,7425,600,1750,73,82,12.9,17,9563,46
Northern Arizona University,AZ,FLAGSTAFF,86011,No,5891,4931,1973,23,48,11249,2682,6746,3728,620,2342,78,83,21.7,7,6157,41
Northern Illinois University,IL,DEKALB,60115,No,10706,7219,2397,12,37,14826,1979,7799,3296,470,1750,73,78,17.3,11,6086,56
Northwest Missouri State University,MO,MARYVILLE,64468,No,2729,2535,1257,8,29,4787,472,3735,3136,250,1630,62,65,21.7,23,5284,54
Northwestern College,IA,ORANGE CITY,51041,Yes,860,811,366,22,56,1040,52,9900,3075,300,1800,68,68,14.9,34,6357,68
Northwestern University,IL,EVANSTON,60208,Yes,12289,5200,1902,85,98,7450,45,16404,5520,759,1585,96,100,6.8,25,26385,92
Norwich University,VT,NORTHFIELD,05663,Yes,1743,1625,626,8,29,1862,382,14134,5270,500,800,71,74,13.1,22,9209,63
Notre Dame College,OH,CLEVELAND,44121,Yes,379,324,107,15,37,500,311,9990,4900,400,600,44,47,12.1,26,4948,33
Oakland University,MI,ROCHESTER HILLS,48309,No,3041,2581,1173,16,56,6441,3982,9114,4030,400,650,88,90,19.7,13,6637,53
Oberlin College,OH,OBERLIN,44074,Yes,4778,2767,678,50,89,2587,120,19670,5820,575,1119,77,96,10.1,47,16593,83
Occidental College,CA,LOS ANGELES,90041,Yes,2324,1319,370,52,81,1686,35,16560,5140,558,1152,91,93,10.5,30,16196,79
Oglethorpe University,GA,ATLANTA,30319,Yes,792,649,186,56,87,769,377,12900,4340,600,4110,91,95,13.1,27,8568,67
Ohio Northern University,OH,ADA,45810,Yes,2936,2342,669,35,62,2502,66,15990,4080,600,825,73,78,14.5,31,9979,83
Ohio Wesleyan University,OH,DELAWARE,43015,Yes,2190,1700,458,36,65,1780,48,16732,5650,550,550,93,93,12.1,32,12011,75
Oklahoma Baptist University,OK,SHAWNEE,74804,Yes,758,681,484,35,59,1707,705,5390,3140,515,1290,63,71,15.1,18,5511,50
Oklahoma Christian University,OK,EDMOND,73013,Yes,776,765,351,22,44,1419,228,6400,3150,500,1900,58,64,16.2,8,6578,45
Ouachita Baptist University,AR,ARKADELPHIA,71998,Yes,910,773,450,31,73,1310,61,6530,2800,500,1500,63,67,13.3,10,6413,65
Pace University,NY,NEW YORK,10038,Yes,8256,3750,1522,37,70,5809,4379,11000,5160,660,1115,90,95,13.8,10,10059,62
Pacific Lutheran University,WA,TACOMA,98447,Yes,1603,1392,504,31,68,2580,302,13312,4488,600,1516,78,78,11,23,9431,83
Pacific Union College,CA,ANGWIN,94508,Yes,940,668,385,20,48,1316,139,11925,3825,630,1926,48,87,12.3,12,9157,69
Pacific University,OR,FOREST GROVE,97116,Yes,943,849,288,41,71,1041,35,14210,3994,450,1100,76,76,10.9,22,11216,42
Pepperdine University,CA,MALIBU,90263,Yes,3821,2037,680,86,96,2488,625,18200,6770,500,700,95,98,11.6,13,16185,66
Peru State College,NE,PERU,68421,No,701,501,458,10,40,959,457,2580,2624,500,900,48,100,20.1,24,4870,44
Pitzer College,CA,CLAREMONT,91711,Yes,1133,630,220,37,73,750,30,17688,5900,650,850,100,100,10.4,11,14820,73
Presbyterian College,SC,CLINTON,29325,Yes,1082,832,302,34,63,1133,30,11859,3635,554,1429,80,85,13.4,42,8354,85
Providence College,RI,PROVIDENCE,02918,Yes,5139,3346,973,20,55,3717,1358,14400,6200,450,1100,66,74,18.4,35,8135,96
Quincy University,IL,QUINCY,62301,Yes,1025,707,297,22,66,1070,72,10100,4140,450,1080,69,71,16.3,32,6880,80
Radford University,VA,RADFORD,24142,No,5702,4894,1742,15,37,8077,472,6684,4110,500,900,73,83,19.6,9,4519,62
Ramapo College of New Jersey,NJ,MAHWAH,07430,No,2088,957,362,6,29,2745,1938,4449,4860,600,1655,74,95,17.8,8,7333,47
Randolph-Macon College,VA,ASHLAND,23005,Yes,1771,1325,306,21,46,1071,27,13840,3735,400,900,77,80,10.7,38,11080,74
Reed College,OR,PORTLAND,97202,Yes,1966,1436,327,47,80,1199,61,19960,5490,500,450,90,90,11.8,37,15886,68
Regis College,MA,WESTON,02493,Yes,427,385,143,18,38,581,533,12700,5800,450,700,81,85,10.3,37,11758,84
Rensselaer Polytechnic Institute,NY,TROY,12180,Yes,4996,4165,936,53,82,4291,16,17475,5976,1230,1100,94,98,15.4,21,15605,70
Rhodes College,TN,MEMPHIS,38112,Yes,2302,1831,391,58,82,1345,59,15200,4768,550,1500,90,96,10.8,47,13388,77
Rider University,NJ,LAWRENCEVILLE,08648,Yes,3586,2424,730,16,31,2748,1309,13250,5420,700,3100,84,92,12.3,23,11299,70
Roanoke College,VA,SALEM,24153,Yes,2227,1790,437,27,54,1460,239,13425,4425,450,1200,85,89,13,26,9405,72
Rocky Mountain College,MT,BILLINGS,59102,Yes,560,392,270,11,31,743,118,8734,3362,600,625,56,78,11.3,27,6422,68
Roger Williams University,RI,BRISTOL,02809,Yes,3304,2804,679,10,20,2111,1489,12520,6050,500,730,44,54,16.4,8,7957,61
Rollins College,FL,WINTER PARK,32789,Yes,1777,1151,382,31,55,1668,1052,16425,5220,955,750,81,85,13.3,23,11561,90
Sacred Heart University,CT,FAIRFIELD,06825,Yes,2307,1896,509,19,51,1707,1889,11070,5780,400,600,71,73,14.8,16,7120,82
Saint Ambrose University,IA,DAVENPORT,52803,Yes,897,718,276,12,48,1345,390,10450,4020,500,1500,56,56,14.1,16,7444,70
Saint Anselm College,NH,MANCHESTER,03102,Yes,2095,1553,514,15,40,1873,94,12950,5400,450,1120,70,82,14.5,29,6719,97
Saint Cloud State University,MN,SAINT CLOUD,56301,No,3971,3306,1921,10,34,11493,2206,4259,2625,350,1884,70,75,18.9,10,4629,58
Saint Joseph's University,PA,PHILADELPHIA,19131,Yes,2519,2003,776,39,71,2473,1314,12750,6350,350,1690,84,90,17.4,13,8243,83
Saint Louis University,MO,SAINT LOUIS,63103,Yes,3294,2855,956,44,67,4576,1140,11690,4730,800,6800,84,94,4.6,19,18367,67
Saint Mary's College,IN,NOTRE DAME,46556,Yes,888,734,393,26,60,1433,27,12730,4514,500,1525,74,95,9.9,31,11165,98
Saint Mary-of-the-Woods College,IN,SAINT MARY OF THE WOODS,47876,Yes,150,130,88,23,50,341,768,10300,4130,500,1700,44,58,10.2,37,9678,75
Saint Michael's College,VT,COLCHESTER,05439,Yes,1910,1380,463,16,64,1715,106,13030,5860,500,750,79,88,14.5,34,10190,84
Saint Vincent College,PA,LATROBE,15650,Yes,700,595,278,19,35,1035,182,10850,3936,500,900,62,64,12.3,31,8534,88
Saint Xavier University,IL,CHICAGO,60655,Yes,785,647,295,15,65,1670,726,10860,4624,600,794,87,100,13.7,15,8953,55
Salem College,NC,WINSTON-SALEM,27101,Yes,335,284,132,28,69,534,216,10475,6300,500,2000,68,68,11.2,46,9599,60
Samford University,AL,BIRMINGHAM,35229,Yes,1680,1395,691,34,76,2959,402,8236,3700,569,1650,74,75,14.7,17,9533,61
San Diego State University,CA,SAN DIEGO,92182,No,9402,7020,2151,20,70,16407,5550,8384,5110,612,2400,87,93,19.5,7,7930,41
Santa Clara University,CA,SANTA CLARA,95053,Yes,4019,2779,888,40,73,3891,128,13584,5928,630,1278,88,92,13.9,19,10872,100
Sarah Lawrence College,NY,BRONXVILLE,10708,Yes,1380,768,263,57,82,1000,105,19300,6694,600,700,89,93,6.1,18,14779,83
Scripps College,CA,CLAREMONT,91711,Yes,855,632,139,60,83,569,7,17238,7350,600,800,95,100,8.2,41,18372,73
Seattle Pacific University,WA,SEATTLE,98119,Yes,1183,1016,411,42,82,1922,704,12669,4875,600,1250,83,85,16.8,20,10368,66
Seattle University,WA,SEATTLE,98122,Yes,2115,1540,494,28,72,2993,347,12825,4375,500,1500,85,85,12.2,16,10175,89
Seton Hall University,NJ,SOUTH ORANGE,07079,Yes,4576,3565,1000,16,36,4384,1530,12000,6484,650,1000,81,84,14.4,15,10080,64
Shorter College,AR,N LITTLE ROCK,72114,Yes,540,445,165,23,70,1115,111,7210,3600,500,2000,62,65,13.2,18,7356,58
Siena College,NY,LOUDONVILLE,12211,Yes,2961,1932,628,24,68,2669,616,10800,5100,575,1090,71,82,14.1,42,8189,100
Simpson College,IA,INDIANOLA,50125,Yes,1016,872,300,27,57,1116,602,11250,4980,550,1400,66,73,15.8,36,7411,70
Skidmore College,NY,SARATOGA SPRINGS,12866,Yes,4293,2728,591,25,62,2322,263,18710,5970,500,700,87,92,12.7,29,14837,81
Smith College,MA,NORTHAMPTON,01063,Yes,2925,1598,632,51,88,2479,95,18820,6390,500,1050,85,97,10.3,44,21199,90
South Dakota State University,SD,BROOKINGS,57007,No,2807,2589,1701,13,37,7000,1103,3811,2190,500,1970,62,65,15,29,5084,67
Southeast Missouri State University,MO,CAPE GIRARDEAU,63701,No,2281,1870,1408,18,43,6553,1246,4680,3540,200,2150,75,76,17.1,8,5916,45
Southern Methodist University,TX,DALLAS,75275,Yes,4301,3455,1166,41,69,4892,387,12772,5078,576,1802,74,88,13.5,17,12726,72
Southwest Baptist University,MO,BOLIVAR,65613,Yes,1093,1093,642,12,32,1770,967,7070,2500,400,1000,52,54,15.9,13,4718,71
Southwestern College,NM,SANTA FE,87507,Yes,213,155,75,28,66,504,147,7200,3532,550,1500,56,56,11.8,12,7818,52
Southwestern University,TX,GEORGETOWN,78626,Yes,1244,912,352,44,77,1177,43,11850,4675,600,1050,83,89,11.3,35,12995,67
Spalding University,KY,LOUISVILLE,40203,Yes,283,201,97,10,45,589,263,8400,2800,600,900,50,56,10.6,40,6860,89
Spelman College,GA,ATLANTA,30314,Yes,3713,1237,443,47,83,1971,107,7000,5565,660,2400,73,80,12.5,18,9988,65
St. John's College,NM,SANTA FE,87505,Yes,323,278,122,31,51,393,4,16150,5450,275,800,63,72,7.2,26,15622,64
St. Mary's College of Maryland,MD,ST. MARY'S CITY,20686,No,1340,695,285,42,73,1315,209,6800,4730,675,1250,84,89,11.6,23,10357,63
St. Thomas Aquinas College,NY,SPARKILL,10976,Yes,861,609,215,10,27,1117,815,8650,5700,500,1750,69,73,16.1,13,6534,67
Stephens College,MO,COLUMBIA,65215,Yes,450,405,194,17,34,614,388,13900,5200,450,2150,46,63,10.9,17,9995,59
Stetson University,FL,DELAND,32723,Yes,1557,1227,489,37,69,1964,81,12315,4565,600,1365,85,90,12.5,24,10307,73
Stevens Institute of Technology,NJ,HOBOKEN,07030,Yes,1768,1249,380,51,93,1263,11,16900,5680,450,750,89,89,19,33,12837,79
Stonehill College,MA,EASTON,02357,Yes,3646,2300,585,25,69,2022,926,12170,6172,480,800,79,79,13,30,7495,97
SUNY at Albany,NY,ALBANY,12222,No,13528,9198,1843,16,61,10168,1231,6550,4355,700,1560,93,96,17.4,16,9075,74
SUNY College at Geneseo,NY,GENESEO,14454,No,8598,4562,1143,56,93,5060,146,6550,4170,600,650,79,84,19.1,25,5716,76
SUNY College at Plattsburgh,NY,PLATTSBURGH,12901,No,5549,3583,853,9,40,5004,475,6550,4176,600,1380,80,90,17.9,16,6174,65
SUNY College at Potsdam,NY,POTSDAM,13676,No,3150,2289,650,16,51,3598,234,6840,4660,500,1000,71,75,15.1,17,6436,59
Susquehanna University,PA,SELINSGROVE,17870,Yes,2096,1512,465,27,59,1442,166,16130,4710,400,800,83,86,13.9,37,10554,90
Sweet Briar College,VA,SWEET BRIAR,24595,Yes,462,402,146,36,68,527,41,14500,6000,500,600,91,99,6.5,48,18953,61
Syracuse University,NY,SYRACUSE,13244,Yes,10477,7260,2442,28,67,10142,117,15150,6870,635,960,73,84,11.3,13,14231,67
Tabor College,KS,HILLSBORO,67063,Yes,257,183,109,19,41,396,38,7850,3410,400,1500,55,70,10,15,7233,53
Talladega College,AL,TALLADEGA,35160,Yes,4414,1500,335,30,60,908,119,5666,2964,1000,1400,56,58,15.5,7,5970,46
Taylor University,IN,UPLAND,46989,Yes,1769,1092,437,41,80,1757,81,10965,4000,450,1250,60,61,14.2,32,8294,98
Texas Christian University,TX,FORT WORTH,76129,Yes,4095,3079,1195,33,64,5064,660,8490,3320,650,2400,81,93,14.8,23,9158,64
Texas Southern University,TX,HOUSTON,77004,No,4345,3245,2604,15,85,5584,3101,7860,3360,600,1700,65,75,18.2,21,3605,10
Texas Wesleyan University,TX,FORT WORTH,76105,Yes,592,501,279,19,44,1204,392,6400,3484,600,1800,80,83,14.5,10,7936,43
Thiel College,PA,GREENVILLE,16125,Yes,1154,951,253,15,31,791,140,11172,4958,700,1350,68,76,11.6,16,9186,60
Tiffin University,OH,TIFFIN,44883,Yes,845,734,254,5,21,662,351,7600,3800,600,1200,59,74,19,40,5096,39
Transylvania University,KY,LEXINGTON,40508,Yes,759,729,244,57,81,867,51,10900,4450,500,1000,81,91,12.1,41,10219,70
Trinity University,TX,SAN ANTONIO,78212,Yes,2425,1818,601,62,93,2110,95,12240,5150,500,490,94,96,9.6,20,14703,93
Tuskegee University,AL,TUSKEGEE,36088,Yes,2267,1827,611,20,59,2825,144,6735,3395,600,1425,70,74,12.2,7,10872,65
University of Alabama at Birmingham,AL,BIRMINGHAM,35294,No,1797,1260,938,24,35,6960,4698,4440,5175,750,2200,96,96,6.7,16,16352,33
University of Central Florida,FL,ORLANDO,32816,No,6986,2959,1918,25,60,12330,7152,6618,4234,700,1600,80,98,22.2,9,6742,46
University of Charleston,WV,CHARLESTON,25304,Yes,682,535,204,22,43,771,611,9500,3540,400,750,26,58,2.5,10,7683,57
University of Chicago,IL,CHICAGO,60637,Yes,6348,2999,922,68,94,3340,39,18930,6380,500,1254,99,99,5.3,36,36854,90
University of Dallas,TX,IRVING,75062,Yes,681,588,246,44,74,1058,73,10760,6230,500,1200,85,93,13.4,26,8731,63
University of Dayton,OH,DAYTON,45469,Yes,6361,5293,1507,26,51,5889,665,11380,4220,500,900,81,85,14.8,25,8894,93
University of Delaware,DE,NEWARK,19716,Yes,14446,10516,3252,22,57,14130,4522,10220,4230,530,1300,82,87,18.3,15,10650,75
University of Denver,CO,DENVER,80208,Yes,2974,2001,580,29,60,2666,554,15192,4695,400,1350,84,91,15.9,21,11762,67
University of Detroit Mercy,MI,DETROIT,48221,Yes,927,731,415,24,50,2149,2217,11130,3996,600,2166,72,79,13.5,14,10891,51
University of Dubuque,IA,DUBUQUE,52001,Yes,576,558,137,11,39,662,131,10430,3620,400,1500,85,98,16.5,18,8767,45
University of Florida,FL,GAINESVILLE,32611,No,12445,8836,3623,54,85,24470,3286,7090,4180,630,1530,88,97,13.4,20,14737,66
University of Georgia,GA,ATHENS,30602,No,11220,7871,3320,43,79,19553,2748,5697,3600,525,1755,88,95,14.7,22,7881,63
University of Hartford,CT,WEST HARTFORD,06117,Yes,5081,4040,1194,11,26,3768,1415,14220,6000,500,1440,61,76,10.7,9,10625,66
University of Hawaii at Manoa,HI,HONOLULU,96822,No,3580,2603,1627,36,69,11028,2411,4460,3038,687,1281,85,87,11.8,6,12833,54
University of Indianapolis,IN,INDIANAPOLIS,46227,Yes,1487,1276,388,26,51,1417,1646,11120,4080,525,1405,55,56,11.1,23,6735,69
University of Kansas,KS,LAWRENCE,66045,No,8579,5561,3681,25,50,17880,1673,6994,3384,700,2681,88,94,13.7,17,9657,57
University of La Verne,CA,LA VERNE,91750,Yes,1597,969,226,16,38,1431,1522,13540,5050,630,2298,66,68,14.1,23,10139,47
University of Louisville,KY,LOUISVILLE,40292,No,4777,3057,1823,16,33,9844,6198,6540,3600,530,2440,84,92,11.1,24,10207,31
University of Maine at Farmington,ME,FARMINGTON,04938,No,1208,803,438,20,48,1906,344,6810,3970,450,1647,67,75,15.9,26,5712,59
University of Maine at Machias,ME,MACHIAS,04654,No,441,369,172,17,45,633,317,6600,3680,600,400,46,46,15.1,4,5935,64
University of Maine at Presque Isle,ME,PRESQUE ISLE,04769,No,461,381,235,10,40,974,503,6600,3630,400,1675,67,67,15.2,11,6408,35
University of Miami,FL,CORAL GABLES,33146,Yes,7122,5386,1643,42,69,7760,876,16500,6526,630,1985,82,94,5.9,17,17500,59
University of Mississippi,MS,UNIVERSITY,38677,No,3844,3383,1669,26,47,7524,804,4916,3810,600,550,81,86,20.3,14,6971,53
University of Mobile,AL,MOBILE,36613,Yes,452,331,269,17,54,1417,301,6150,3680,550,1200,59,63,16.6,4,5412,52
University of Montevallo,AL,MONTEVALLO,35115,No,1351,892,570,18,78,2385,331,4440,3030,300,600,72,72,18.9,8,5883,51
University of New England,ME,BIDDEFORD,04005,Yes,1209,750,265,19,54,820,159,11450,5045,900,2500,72,75,11.4,13,9718,64
University of North Carolina at Chapel Hill,NC,CHAPEL HILL,27599,No,14596,5985,3331,75,92,14609,1100,8400,4200,550,1200,88,93,8.9,23,15893,83
University of North Dakota,ND,GRAND FORKS,58202,No,2777,2249,1652,20,54,8334,1435,5634,2703,450,1200,97,97,15.9,16,9424,49
University of North Florida,FL,JACKSONVILLE,32224,No,1800,1253,560,44,85,3876,3588,6634,4360,600,2604,82,85,17.8,14,6104,47
University of North Texas,TX,DENTON,76203,No,4418,2737,2049,23,51,14047,5134,4104,3579,450,1700,86,94,22.6,6,5657,35
University of Northern Colorado,CO,GREELEY,80639,No,5530,4007,1697,12,37,8463,1498,7731,4128,540,2286,75,75,21.5,8,6309,40
University of Northern Iowa,IA,CEDAR FALLS,50614,No,4144,3379,1853,18,52,10135,1448,6197,2930,595,2380,78,82,16.3,26,6333,77
University of Oregon,OR,EUGENE,97403,No,8631,6732,2546,25,61,11669,1605,10602,3660,570,1530,79,87,19.7,13,8020,54
University of Pennsylvania,PA,PHILADELPHIA,19104,Yes,12394,5232,2464,85,100,9205,531,17020,7270,500,1544,95,96,6.3,38,25765,93
University of Portland,OR,PORTLAND,97203,Yes,1758,1485,419,27,58,2041,174,12040,4100,600,1100,92,96,13.2,17,9060,72
University of Puget Sound,WA,TACOMA,98416,Yes,4044,2826,688,51,83,2738,138,16230,4500,630,1800,79,86,15,17,11217,63
University of Rhode Island,RI,KINGSTON,02881,No,9643,7751,1968,12,40,8894,2456,10330,5558,500,1250,84,89,16.6,7,9158,63
University of Richmond,VA,UNIVERSITY OF RICHMOND,23173,Yes,5892,2718,756,46,72,2854,594,14500,3285,700,1125,75,89,11.7,32,11984,100
University of Rochester,NY,ROCHESTER,14627,Yes,8766,5498,1243,56,75,5071,438,17840,6582,500,882,93,99,5.9,23,26037,80
University of San Diego,CA,SAN DIEGO,92110,Yes,3934,2735,886,40,70,3698,217,13600,5940,630,1820,93,96,15.6,13,10813,66
University of San Francisco,CA,SAN FRANCISCO,94117,Yes,2306,1721,538,23,48,4309,549,13226,6452,750,2450,86,86,13.6,8,10074,62
University of Scranton,PA,SCRANTON,18510,Yes,4471,2942,910,29,60,3674,493,11584,5986,650,800,83,83,14.1,41,9131,92
University of Southern California,CA,LOS ANGELES,90089,Yes,12229,8498,2477,45,71,13259,1429,17230,6482,600,2210,90,94,11.4,10,17007,68
University of Southern Mississippi,MS,HATTIESBURG,39406,No,2850,2044,1046,20,50,9260,1387,4652,2470,500,500,78,99,18.7,23,5917,45
University of Tulsa,OK,TULSA,74104,Yes,1712,1557,696,41,68,2936,433,11750,4160,1200,2350,94,96,11.5,10,11743,47
University of Utah,UT,SALT LAKE CITY,84112,No,5095,4491,2400,27,53,13894,8374,6857,3975,858,3093,89,93,12.8,9,9275,37
University of Vermont,VT,BURLINGTON,05405,No,7663,6008,1735,18,51,7353,1674,15516,4928,500,990,87,90,9.9,10,12646,79
University of Wisconsin-Stout,WI,MENOMONIE,54751,No,2593,1966,1030,9,32,6038,579,6704,2592,376,1750,78,78,21,17,6254,65
University of Wyoming,WY,LARAMIE,82071,No,2029,1516,1073,23,46,7535,1488,5988,3422,600,1500,91,94,15.1,13,8745,45
Upper Iowa University,IA,FAYETTE,52142,Yes,663,452,192,10,35,1481,1160,8840,3060,500,1000,69,75,17.4,19,3733,78
Ursinus College,PA,COLLEGEVILLE,19426,Yes,1399,1026,308,44,77,1131,17,14900,5160,500,800,82,85,11.6,40,12082,79
Ursuline College,OH,PEPPER PIKE,44124,Yes,325,260,86,21,47,699,717,9600,4202,450,750,39,69,10.5,15,7164,68
Valley City State University,ND,VALLEY CITY,58072,No,368,344,212,5,27,863,189,4286,2570,600,2000,39,41,14.9,25,4958,40
Valparaiso University,IN,VALPARAISO,46383,Yes,2075,1727,520,49,81,2501,198,11800,3260,500,800,87,89,14.2,23,9681,95
Vanderbilt University,TN,NASHVILLE,37240,Yes,7791,4690,1499,71,92,5500,90,17865,6525,630,952,93,98,5.8,26,23850,83
Vassar College,NY,POUGHKEEPSIE,12604,Yes,3550,1877,653,53,87,2164,77,18920,5950,600,800,90,98,9.7,39,17089,90
Villanova University,PA,VILLANOVA,19085,Yes,7759,5588,1477,30,68,6362,1292,15925,6507,400,300,89,90,13.4,24,10458,96
Virginia Commonwealth University,VA,RICHMOND,23284,No,4963,3497,1567,18,45,10262,5065,10217,4182,500,3630,81,87,8.7,11,11183,45
Virginia State University,VA,PETERSBURG,23806,No,2996,2440,704,2,30,3006,338,5587,4845,500,600,61,63,16,11,5733,31
Voorhees College,SC,DENMARK,29042,Yes,1465,1006,188,10,30,703,20,4450,2522,500,1200,43,43,22.9,3,5861,58
Wagner College,NY,STATEN ISLAND,10301,Yes,1416,1015,417,10,44,1324,117,13500,5800,585,1700,67,78,13.2,23,9006,75
Walsh University,OH,NORTH CANTON,44720,Yes,1092,890,477,27,92,847,497,8670,4180,500,1450,42,58,11.3,33,5738,68
